eeschema (2013-07-07 BZR 4022)-stable  >> Creation date: 23/01/2014 10:14:15 p.m.
#Cmp ( order = Reference )
| BAT1       BATTERY     ; CR2032H     ;             ;             ;             ;             
| C1         1uF         ; SM1206      ;             ;             ;             ;             
| D1         LED         ; LED-1206    ;             ;             ;             ;             
| LDR1       1K          ;             ;             ;             ;             ;             
| R1         470K        ; SM1206      ;             ;             ;             ;             
| R2         1K          ; SM1206      ;             ;             ;             ;             
| U1         7555        ; SO8N        ;             ;             ;             ;             
#End Cmp

#Cmp ( order = Value )
| BATTERY      BAT1      ; CR2032H     ;             ;             ;             ;             
| 1uF          C1        ; SM1206      ;             ;             ;             ;             
| LED          D1        ; LED-1206    ;             ;             ;             ;             
| 1K           LDR1      ;             ;             ;             ;             ;             
| 1K           R2        ; SM1206      ;             ;             ;             ;             
| 470K         R1        ; SM1206      ;             ;             ;             ;             
| 7555         U1        ; SO8N        ;             ;             ;             ;             
#End Cmp

#End List
